time,energy
24.0,-1085.8165541869466
24.2,-1084.9268593021557
24.400000000000002,-1084.0183301845832
24.6,-1083.0889624381905
24.8,-1082.1531923800374
25.0,-1081.2337908545865
25.2,-1080.340580099657
25.400000000000002,-1079.4688712707061
25.6,-1078.6106229141733
25.8,-1077.7599731985129
26.0,-1076.9135070986574
26.2,-1076.0693537950094
26.400000000000002,-1075.2264912284636
26.6,-1074.3843558346482
26.8,-1073.542639270834
27.0,-1072.70118211979
27.2,-1071.8599162700068
27.400000000000002,-1071.0188322316174
27.6,-1070.177959787943
27.8,-1069.3373560463572
28.0,-1068.4970975710514
28.2,-1067.657274548728
28.400000000000002,-1066.8179856207796
28.6,-1065.979332422325
28.8,-1065.141413115044
29.0,-1064.3043143432203
29.2,-1063.4681011469386
29.400000000000002,-1062.6328045591306
29.6,-1061.7984071549326
29.8,-1060.9648282419407
30.0,-1060.1319136834954
30.2,-1059.2994421049304
30.400000000000002,-1058.46716953946
30.6,-1057.634913041972
30.8,-1056.8017535849453
31.0,-1055.9301928858038
31.2,-1054.9180368675563
31.400000000000002,-1054.075203074559
31.6,-1053.2516763707279
31.8,-1052.4340176029154
32.0,-1051.6236600071363
32.2,-1050.8213802205398
32.4,-1050.0272288936512
32.6,-1049.2408492331062
32.8,-1048.461725973739
33.0,-1047.6893288553633
33.2,-1046.9231732388796
33.4,-1046.1628316567046
33.6,-1045.407921322272
33.8,-1044.6580803985646
34.0,-1043.9129362550468
34.2,-1043.172061764594
34.4,-1042.434908012672
34.6,-1041.700690204747
34.800000000000004,-1040.9681865672403
35.0,-1040.2353995478645
35.2,-1039.4990994592597
35.4,-1038.754682726408
35.6,-1037.9978600373836
35.800000000000004,-1037.2298618369302
36.0,-1036.4617029732672
36.2,-1035.7074710280974
36.4,-1034.973085091185
36.6,-1034.255901046657
36.800000000000004,-1033.5505001038605
37.0,-1032.8515758064868
37.2,-1032.157856325493
37.4,-1031.4698072470433
37.6,-1030.7851749906863
37.800000000000004,-1030.1028126524702
38.0,-1029.422207785502
38.2,-1028.7430098714735
38.4,-1028.0649298749788
38.6,-1027.3877116299357
38.800000000000004,-1026.7111184754176
39.0,-1026.034924538909
39.2,-1025.3589074043266
39.4,-1024.6828403140146
39.6,-1024.00648221244
39.800000000000004,-1023.3295635462067
40.0,-1022.6517648380359
40.2,-1021.9726835654195
40.4,-1021.2917829079308
40.6,-1020.6083146893401
40.800000000000004,-1019.9212131585706
41.0,-1019.2289804300287
41.2,-1018.529659870868
41.4,-1017.8211515028961
41.6,-1017.1022568364829
41.800000000000004,-1016.3744337994576
42.0,-1015.6428319677773
42.2,-1014.9145360046591
42.4,-1014.1948754604653
42.6,-1013.4854705548755
42.800000000000004,-1012.7851758083466
43.0,-1012.0918971457945
43.2,-1011.4037122346822
43.4,-1010.7192145628837
43.6,-1010.0374845551703
43.800000000000004,-1009.3579639839845
44.0,-1008.6803396597682
44.2,-1008.0044592449094
44.4,-1007.3302753785506
44.6,-1006.657809620828
44.800000000000004,-1005.9871291467177
45.0,-1005.3183313527553
45.2,-1004.6515332949598
45.4,-1003.9868640543336
45.6,-1003.3244588812381
45.800000000000004,-1002.6644544523461
46.0,-1002.0069848839626
46.2,-1001.3521783327153
46.4,-1000.7001540809961
46.6,-1000.0510199614106
46.800000000000004,-999.4048699343842
47.0,-998.7617816619306
47.2,-998.121813830823
47.4,-997.4850026752373
47.6,-996.8513567652992
47.800000000000004,-996.2208485764996
48.0,-995.5934002755015
48.2,-994.9688590445019
48.4,-994.3469533270569
48.6,-993.727214542218
48.800000000000004,-993.1088391603932
49.0,-992.4904622733633
49.2,-991.8698604357795
49.4,-991.2438378804188
49.6,-990.6091511267282
49.800000000000004,-989.9655905581893
50.0,-989.3194327243693
50.2,-988.681049046047
50.4,-988.0571271086108
50.6,-987.4476437384031
50.800000000000004,-986.8491349200549
51.0,-986.2579607882637
51.2,-985.6713305480869
