time,energy
5.88,-1252.65658637618
5.91,-1252.6565866370363
5.94,-1252.6565868828445
5.97,-1252.656586976716
6.0,-1252.6565868688572
6.03,-1252.656586621387
6.0600000000000005,-1252.6565863781866
6.09,-1252.6565862876082
6.12,-1252.656586409409
6.15,-1252.6565866755857
6.18,-1252.6565869364717
6.21,-1252.6565870515476
6.24,-1252.656586967522
6.2700000000000005,-1252.6565867431066
6.3,-1252.6565865178575
6.33,-1252.6565864310705
6.36,-1252.656586541247
6.390000000000001,-1252.6565867925442
6.42,-1252.6565870456013
6.45,-1252.656587160831
6.48,-1252.6565870770019
6.51,-1252.6565868390805
6.54,-1252.6565865662228
6.57,-1252.6565863977298
6.6000000000000005,-1252.6565864156619
6.63,-1252.6565865938487
6.66,-1252.6565868123805
6.69,-1252.656586930378
6.72,-1252.6565868701791
6.75,-1252.656586659853
6.78,-1252.6565864161348
6.8100000000000005,-1252.6565862805394
6.84,-1252.6565863411824
6.87,-1252.656586581617
6.9,-1252.6565868874156
6.93,-1252.656587104991
6.96,-1252.6565871274113
6.99,-1252.656586959785
7.0200000000000005,-1252.6565867100965
7.05,-1252.6565865295513
7.08,-1252.6565865292957
7.11,-1252.6565867138743
7.140000000000001,-1252.656586972416
7.17,-1252.6565871460434
7.2,-1252.6565871242328
7.23,-1252.6565869083452
7.26,-1252.6565866076396
7.29,-1252.6565863799556
7.32,-1252.656586347357
7.3500000000000005,-1252.6565865173354
7.38,-1252.656586785504
7.41,-1252.6565869988367
7.44,-1252.6565870441414
7.47,-1252.6565869095834
7.5,-1252.656586689092
7.53,-1252.6565865258744
7.5600000000000005,-1252.656586532938
7.59,-1252.6565867269057
7.62,-1252.6565870136435
7.65,-1252.6565872405226
7.68,-1252.6565872867714
7.71,-1252.6565871364292
7.74,-1252.6565868797543
7.7700000000000005,-1252.6565866545086
7.8,-1252.6565865793884
7.83,-1252.6565866924411
7.86,-1252.6565869283415
7.890000000000001,-1252.6565871500277
7.92,-1252.6565872251176
7.95,-1252.6565871089128
7.98,-1252.6565868677453
8.01,-1252.6565866364306
8.040000000000001,-1252.6565865443085
8.07,-1252.656586646506
8.1,-1252.6565868888015
8.13,-1252.6565871362982
8.16,-1252.6565872430278
8.19,-1252.6565871454236
8.22,-1252.6565869009446
8.25,-1252.6565866500284
8.28,-1252.6565865349228
8.31,-1252.6565866233052
8.34,-1252.6565868705945
8.370000000000001,-1252.6565871434684
8.4,-1252.656587295235
8.43,-1252.6565872485432
8.46,-1252.6565870441282
8.49,-1252.6565868162056
8.52,-1252.6565867129768
8.55,-1252.6565868082507
8.58,-1252.6565870567006
8.61,-1252.6565873249772
8.64,-1252.6565874651026
8.67,-1252.656587400078
8.700000000000001,-1252.6565871706437
8.73,-1252.6565869096653
8.76,-1252.6565867602706
8.790000000000001,-1252.6565868003304
8.82,-1252.6565870018953
8.85,-1252.6565872453527
8.88,-1252.656587385728
8.91,-1252.656587337089
8.94,-1252.6565871249936
8.97,-1252.656586863826
9.0,-1252.6565866968285
9.03,-1252.656586718037
9.06,-1252.656586919527
9.09,-1252.656587193456
9.120000000000001,-1252.6565873926863
9.15,-1252.656587412753
9.18,-1252.6565872522197
9.21,-1252.656587014023
9.24,-1252.656586843058
9.27,-1252.6565868421817
9.3,-1252.6565870193515
9.33,-1252.6565872867204
9.36,-1252.656587503141
9.39,-1252.6565875474112
9.42,-1252.656587400912
9.450000000000001,-1252.6565871617795
9.48,-1252.6565869799545
9.51,-1252.6565869697338
9.540000000000001,-1252.6565871461642
9.57,-1252.6565874159417
9.6,-1252.6565876280222
9.63,-1252.6565876580303
9.66,-1252.6565874812532
9.69,-1252.6565871908908
9.72,-1252.6565869436756
9.75,-1252.6565868703287
9.78,-1252.6565869943634
9.81,-1252.6565872311728
9.84,-1252.6565874382454
9.870000000000001,-1252.6565874927583
9.9,-1252.656587361106
9.93,-1252.6565871213786
9.96,-1252.6565869210244
9.99,-1252.6565868891653
10.02,-1252.6565870594534
10.05,-1252.656587352201
10.08,-1252.6565876228603
10.11,-1252.656587740359
10.14,-1252.6565876588786
10.17,-1252.6565874386688
10.200000000000001,-1252.6565872099272
10.23,-1252.6565871045616
10.26,-1252.6565871774676
10.290000000000001,-1252.656587379451
10.32,-1252.6565875885651
10.35,-1252.6565876752807
10.38,-1252.6565875747403
10.41,-1252.656587329286
10.44,-1252.6565870687152
10.47,-1252.656586936117
10.5,-1252.656587002606
10.53,-1252.6565872299097
10.56,-1252.6565874965233
10.59,-1252.6565876560899
10.620000000000001,-1252.6565876256632
10.65,-1252.6565874352982
10.68,-1252.6565872088563
10.71,-1252.6565870936715
10.74,-1252.6565871715788
10.77,-1252.6565874093467
10.8,-1252.6565876803827
10.83,-1252.6565878359843
10.86,-1252.6565877870466
10.89,-1252.656587555651
10.92,-1252.656587268554
10.950000000000001,-1252.6565870907966
10.98,-1252.6565871240493
11.01,-1252.6565873419636
11.040000000000001,-1252.6565876176044
11.07,-1252.6565877981182
11.1,-1252.656587789397
11.13,-1252.656587602591
11.16,-1252.6565873472518
11.19,-1252.6565871711564
11.22,-1252.6565871739808
11.25,-1252.6565873469906
11.28,-1252.6565875828512
11.31,-1252.6565877404241
11.34,-1252.6565877229327
11.370000000000001,-1252.6565875342767
11.4,-1252.656587268642
11.43,-1252.6565870680383
11.46,-1252.6565870441668
11.49,-1252.656587209005
11.52,-1252.656587468519
11.55,-1252.6565876811944
11.58,-1252.6565877381447
11.61,-1252.656587621491
11.64,-1252.656587410625
11.67,-1252.656587239685
11.700000000000001,-1252.6565872245842
11.73,-1252.6565873914587
11.76,-1252.6565876591303
11.790000000000001,-1252.6565878831711
11.82,-1252.6565879341772
11.85,-1252.6565877771545
11.88,-1252.6565874902642
11.91,-1252.6565872238675
11.94,-1252.6565871182947
11.97,-1252.6565872184856
12.0,-1252.6565874480139
12.030000000000001,-1252.6565876594339
12.06,-1252.656587721368
12.09,-1252.6565875906124
12.120000000000001,-1252.6565873351653
12.15,-1252.6565870987315
12.18,-1252.6565870228812
12.21,-1252.6565871556395
12.24,-1252.6565874267892
12.27,-1252.6565876913664
12.3,-1252.6565878110523
12.33,-1252.6565877319576
12.36,-1252.6565875106369
12.39,-1252.6565872803867
12.42,-1252.6565871772602
12.450000000000001,-1252.656587262449
12.48,-1252.6565874834766
12.51,-1252.6565877060013
12.540000000000001,-1252.6565877984915
12.57,-1252.6565877118692
12.6,-1252.6565874956189
12.63,-1252.6565872610774
12.66,-1252.65658713815
12.69,-1252.656587200186
12.72,-1252.6565874144605
12.75,-1252.6565876559523
12.780000000000001,-1252.6565877818693
12.81,-1252.6565877142905
12.84,-1252.6565874821683
12.870000000000001,-1252.656587204913
12.9,-1252.656587028536
12.93,-1252.6565870439865
12.96,-1252.6565872357212
12.99,-1252.65658749003
13.02,-1252.6565876531606
13.05,-1252.6565876286138
13.08,-1252.656587431967
13.11,-1252.6565871779878
13.14,-1252.6565870157144
13.17,-1252.6565870464854
13.200000000000001,-1252.6565872655342
13.23,-1252.6565875592314
13.26,-1252.65658776685
13.290000000000001,-1252.656587778008
13.32,-1252.6565875947322
13.35,-1252.6565873263578
13.38,-1252.6565871272635
13.41,-1252.6565871063526
13.44,-1252.6565872621343
13.47,-1252.6565874900677
13.5,-1252.656587641932
13.530000000000001,-1252.6565876158659
13.56,-1252.656587414147
13.59,-1252.6565871365667
13.620000000000001,-1252.6565869266362
13.65,-1252.656586893116
13.68,-1252.6565870499924
13.71,-1252.6565873055215
13.74,-1252.656587511487
13.77,-1252.6565875519789
13.8,-1252.6565874119417
13.83,-1252.6565871734374
13.86,-1252.6565869738972
13.89,-1252.6565869298988
13.92,-1252.6565870707157
13.950000000000001,-1252.65658732202
13.98,-1252.6565875424628
14.01,-1252.6565876047919
14.040000000000001,-1252.6565874714072
14.07,-1252.6565872144927
14.1,-1252.6565869738379
14.13,-1252.6565868815576
14.16,-1252.6565869926849
14.19,-1252.6565872512408
14.22,-1252.6565875136423
14.25,-1252.6565876268137
14.280000000000001,-1252.6565875280055
14.31,-1252.6565872771603
14.34,-1252.656587016613
14.370000000000001,-1252.6565868871905
14.4,-1252.6565869496758
14.43,-1252.6565871527741
14.46,-1252.656587361262
14.49,-1252.6565874331318
14.52,-1252.6565873064885
14.55,-1252.6565870355741
14.58,-1252.6565867623142
14.61,-1252.6565866360054
14.64,-1252.656586719828
14.67,-1252.656586963648
14.700000000000001,-1252.6565872338801
14.73,-1252.6565873838647
14.76,-1252.6565873384184
14.790000000000001,-1252.6565871388113
14.82,-1252.6565869164533
14.85,-1252.6565868126834
14.88,-1252.656586894849
14.91,-1252.656587123186
14.94,-1252.6565873735042
14.97,-1252.656587503119
